lat,lng,dist_road_m,dist_cropland_m
4.819461499301233,7.496441045977408,889.5800279932427,36919.84096915235
4.828444652142428,7.478474740295017,1119.13642482192,34751.21312630682
4.828444652142428,7.487457893136212,573.9441760267198,35720.41643006839
4.828444652142428,7.496441045977408,64.2709590658712,36690.99664767911
4.837427804983624,7.469491587453821,1208.607984203336,33562.81573966939
4.837427804983624,7.478474740295017,462.74623638498286,34536.69546203719
4.837427804983624,7.487457893136212,146.41945737528667,35511.74157761064
4.846410957824819,7.460508434612627,927.2217748917043,32391.97134322022
4.846410957824819,7.469491587453821,417.0230099269481,33370.34588335877
4.846410957824819,7.478474740295017,101.41438104018948,34349.67043510025
4.846410957824819,7.487457893136212,819.5434109807179,35329.8659971277
4.855394110666014,7.451525281771431,339.7341405052121,31240.652323935235
4.855394110666014,7.460508434612627,1045.6249654727076,32223.252932664942
4.855394110666014,7.469491587453821,767.5176727123443,33206.58629888053
4.855394110666014,7.478474740295017,943.3588197996551,34190.58919955168
4.855394110666014,7.487457893136212,253.58001822847623,35175.205445384396
4.864377263507209,7.19101384937677,679.0192473803801,4449.321858440902
4.864377263507209,7.199997002217965,248.22956734940544,4974.493064624777
4.864377263507209,7.208980155059161,15.273513746037143,5627.996446338609
4.864377263507209,7.217963307900355,300.5915249198164,6370.459422208103
4.864377263507209,7.3796600590418695,1522.7095431231642,23226.141979459266
4.864377263507209,7.388643211883065,2254.8808063727674,24206.92801658236
4.864377263507209,7.424575823247846,667.1348504459555,28139.98223169304
4.864377263507209,7.43355897608904,523.9138430311281,29125.221462677328
4.864377263507209,7.442542128930236,202.30238804494087,30111.09591164028
4.864377263507209,7.451525281771431,1068.623581937297,31097.545164369487
4.864377263507209,7.460508434612627,1313.9857874123113,32084.5162033028
4.864377263507209,7.469491587453821,1503.089771122959,33071.96231326469
4.864377263507209,7.478474740295017,1289.4794191552776,34059.84217520686
4.8733604163484046,7.182030696535575,773.5385240338812,3146.125196173859
4.8733604163484046,7.19101384937677,106.29836716295574,3587.134632962638
4.8733604163484046,7.199997002217965,360.80206363308764,4220.9698826217655
4.8733604163484046,7.208980155059161,776.0682013505466,4974.460711976727
4.8733604163484046,7.217963307900355,398.8831617144627,5801.16822286684
4.8733604163484046,7.226946460741551,271.8085416564109,6673.939382029178
4.8733604163484046,7.235929613582746,515.3149720007978,7576.872821289797
4.8733604163484046,7.244912766423941,327.1880736094137,8500.362190812812
4.8733604163484046,7.253895919265136,132.69491748608132,9438.375588521576
4.8733604163484046,7.262879072106331,283.68915107016767,10386.978909914087
4.8733604163484046,7.271862224947527,190.74190555255285,11343.51571383405
4.8733604163484046,7.352710600518284,422.3138364330222,20120.448389014597
4.8733604163484046,7.361693753359479,122.22680235364058,21104.84941310883
4.8733604163484046,7.370676906200674,575.1154814631756,22090.1904671508
4.8733604163484046,7.3796600590418695,1284.0140862159053,23076.35113595735
4.8733604163484046,7.388643211883065,1298.3523970803187,24063.23065124465
4.8733604163484046,7.3976263647242595,1887.0989265455928,25050.74405581599
